 138: j=1, i=0 -->  snd_buf[0,0,3]=(1.00138e+061.00138e+061.00138e+06)
 138: j=1, i=0 -->  rcv_buf[0,0,3]=(1.00138e+061.00138e+061.00138e+06)
 138: j=1, i=0 -->  snd_buf[0,0,3]=(1.00138e+061.00138e+061.00138e+06)
 138: j=1, i=0 -->  rcv_buf[0,0,3]=(1.00138e+061.00138e+061.00138e+06)
 138: j=1, i=0 -->  snd_buf[0,0,3]=(1.00138e+061.00138e+061.00138e+06)
 138: j=1, i=0 -->  rcv_buf[0,0,3]=(1.00138e+061.00138e+061.00138e+06)
 138: j=1, i=0 -->  snd_buf[0,0,3]=(1.00138e+061.00138e+061.00138e+06)
 138: j=1, i=0 -->  rcv_buf[0,0,3]=(1.00138e+061.00138e+061.00138e+06)
 138: j=1, i=0 -->  snd_buf[0,0,3]=(1.00138e+061.00138e+061.00138e+06)
 138: j=1, i=0 -->  rcv_buf[0,0,3]=(1.00138e+061.00138e+061.00138e+06)
 138: j=1, i=0 -->  snd_buf[0,0,3]=(1.00138e+061.00138e+061.00138e+06)
 138: j=1, i=0 -->  rcv_buf[0,0,3]= 0: j=1, i=1 -->  snd_buf[0,0,3]=(1.01e+061.01e+061.01e+06)
 0: j=1, i=1 -->  rcv_buf[0,0,3]=(1.01e+061.01e+061.01e+06)
 0: j=1, i=1 -->  snd_buf[0,0,3]=(1.01e+061.01e+061.01e+06)
 0: j=1, i=1 -->  rcv_buf[0,0,3]=(1.01e+061. 100: j=1, i=1 -->  snd_buf[0,0, 40: j=1, i=1 -->  snd_buf[0,0,3]=(1.0104e+061.0 96: j=1, i=1 -- 104: j=1, i=1 -->  snd_buf[0,0,3]=(1.01104e+061.01104e+061.01104e+06)
 104: j=1, i=1 -->  rcv_buf[0,0,3]=(1.01104e+061.01104e+061.01104e+06)
 104: j=1, i=1 -->  snd_buf[0,0,3]=(1.01104e+061.01104e+061.01104e+06)
 104: j=1, i=1 -->  rcv_buf[0,0,3]=(1.01104e+061.01104e+061.01104e+06)
 104: j=1, i=1 -->  snd_buf[0,0,3]=(1.01104e+061.01104e+061.01104e+06)
 104: j=1, i=1 -->  rcv_buf[0,0,3]=(1.01104e+061.01104e+061.01104e+06)
 104: j=1, i=1 -->  snd_buf[0,0,3]=(1.01104e+061.01104e+061.01104e+06)
 104: j=1, i=1 -->  rcv_buf[0,0,3]=(1.01104e+061.01104e+061.01104e+06)
 104: j=1, i=1 -->  snd_buf[0,0,3]=(1.01104e+061.01104e+061.01104e+06)
  0: j=1, i=2 -->  snd_buf[0,0,3]=(1.02e+061.02e+061.02e+06)
 0: j=1, i=2 -->  rcv_buf[0,0,3]=(1.02e+061.02e+061.02e+06)
 0: j=1, i=2 -->  snd_buf[0,0,3]=(1.02e+061.02e+061.02e+06)
 0: j=1, i=2 -->  rcv_buf[0,0,3]=(1.02e+061.02e+061.02e+06)
 0: j=1, i=2 -->  snd_buf[0,0,3]=(1.02e+061.02e+061.02e+06)
 0: j=1, i=2 -->  rcv_buf[0,0,3]=(1.02e+061.02e+061.02e+06)
 0: j=1, i=2 -->  snd_buf[0,0,3]=(1.02e+ 120: j=1, i=2 -->  snd_buf[0,0, 9: j=1, i=2 -->  snd_buf[0,0,3] 73: j=1, i=2 -->  snd_buf[0,0,3 137: j=1, i=2 -->  snd_buf[0,0,3]=(1.02137e+061.02137e+061.02137e+06)
 137: j=1, i=2 -->  rcv_buf[0,0,3]=(1.02137e+061.02137e+061.02137e+06)
 137: j=1, i=2 -->  snd_buf[0,0,3]=(1.02137e+061.02137e+061.02137e+06)
 137: j=1, i=2 -->  rcv_buf[0,0,3]=(1.02137e+061.02137e+061.02137e+06)
 137: j=1, i=2 -->  snd_buf[0,0,3]=(1.02137e+061.02137e+061.02137e+06)
 137: j=1, i=2 -->  rcv_buf[0,0,3]=(1.02137e+061.02137e+061.02137e+06)
 137: j=1, i=2 -->  snd_buf[0,0,3]=(1. 0: j=1, i=3 -->  snd_buf[0,0,3]=(1.03e+061.03e+061.03e+06)
 0: j=1, i=3 -->  rcv_buf[0,0,3]=(1.03e+061.03e+061.03e+06)
 0: j=1, i=3 -->  snd_buf[0,0,3]=(1.03e+061.03e+061.03e+06)
 0: j=1, i=3 -->  rcv_buf[0,0,3]=(1.03e+061.03e+061.03e+06)
 0: j=1, i=3 -->  snd_buf[0,0,3]=(1.03e+061.03e+061.03e+06)
 0: j=1, i=3 -->  rcv_buf[0,0,3]=(1.03e+061.03e+061.03e+06)
 0: j=1, i=3 -->  snd_buf[0,0,3]=(1.03e+061.03e+061.03e+06)
 0: j=1, i=3 -->  rcv_buf[0,0,3]=(1.03e+061.03e+061.03e+06)
 70: j=1, i=3 -->  snd_buf[0,0,3]=(1.0307e+061.0307e+061.0307e+06)
 70: j=1, i=3 -->  rcv_buf[0, 6: j=1, i=3 -->  snd_buf[0,0,3]=(1.03006e+061.0 43: j=1, i=3 -->  snd_buf[0,0,3]=(1.03043e+061.03043e+061.03043e+06)
 43: j=1, i=3 -->  rcv_buf[0,0,3]=(1.03043e+061.03043e+061.03043e+06)
 48: j=1, i=3 -->  snd_buf[0,0,3]=(1.03048e+061.03048e+061.03048e+06)
 48: j=1, i=3 -->  rcv_buf[0,0,3]=(1.03048e+061.03048e+061.03048e+06)
 43: j=1, i=3 -->  snd_buf[0,0,3]=(1.03043e+061.03043e+0 0: j=1, i=4 -->  snd_buf[0,0,3]=(1.04e+061.04e+061.04e+06)
 0: j=1, i=4 -->  rcv_buf[0,0,3]=(1.04e+061.04e+061.04e+06)
 0: j=1, i=4 -->  snd_buf[0,0,3]=(1.04e+061.04e+061.04e+06)
 0: j=1, i=4 -->  rcv_buf[0,0,3]=(1.04e+061.04e+061.04e+06)
 0: j=1, i=4 -->  snd_buf[0,0,3]=(1.04e+061.04e+061.04e+06)
 0: j=1, i=4 -->  rcv_buf[0,0,3]=(1.04e+061.04e+061.04e+06)
 0: j=1, i=4 -->  snd_buf[0,0,3]=(1.04e+061.04e+061.04e+06)
 0: j=1, i=4 -->  rcv_buf[0,0,3]=(1.04e+061. 100: j=1, i=4 -->  snd_buf[0,0,3]=(1.041e+061.041e+061.041e+06)
 100: j=1, i=4 -->  rcv_buf[0,0,3]=(1.041e+061.041e+061.041e+06 90: j=1, i=4 -->  snd_buf[0,0,3]=(1.0409e+061.0409e+061.0409e+06)
 90: j=1, i=4 -->  rcv_buf[0,0,3]=(1.0409e+061.0409e+061.0409 9: j=1, i=4 -->  snd_buf[0,0,3]=(1.04009e+061.04009e+061.04009e 89: j=1, i=4 -->  snd_buf[0,0,3]=(1.04089e+061.04089e+061.04089e+06)
 89: j=1, i=4 -->  rcv_buf[0,0,3]=(1.04089e+061.04089e+061.04089e+06)
 89: j=1, i=4 -->  snd_buf[0,0,3]=(1 0: j=1, i=5 -->  snd_buf[0,0,3]=(1.05e+061.05e+061.05e+06)
 0: j=1, i=5 -->  rcv_buf[0,0,3]=(1.05e+061.05e+061.05e+06)
 0: j=1, i=5 -->  snd_buf[0,0,3]=(1.05e+061.05e+061.05e+06)
 0: j=1, i=5 -->  rcv_buf[0,0,3]=(1.05e+061.05e+061.05e+06)
 0: j=1, i=5 -->  snd_buf[0,0,3]=(1.05e+061.05e+061.05e+06)
 0: j=1, i=5 -->  rcv_buf[0,0,3]=(1.05e+061.05e+061.05e+06)
 0: j=1, i=5 -->  snd_buf[0,0,3]=(1.05e+061.05e+061.05e+06)
 0: j=1, i=5 -->  rcv_buf[0,0,3]=(1.05e+061.05e+061.05e+06)
 0: j=1, i=5 -->  snd_buf[0,0,3]=(1.05e+061.05e+061.05e+06)
 0:  100: j=1, i=5 -->  snd_buf[0,0,3]=(1.051e+061.051e+061.051e+06)
 100: j=1, i=5 -->  rcv_buf[0,0,3]=(1.051e+061.051e+061.051e+06)
 100: j=1, i=5 -->  snd_buf[0, 50: j=1, i=5 -->  snd_buf[0,0,3]=(1.0505e+061.0505e+061.0505e+06)
 50: j=1, i=5 140: j=1, i=5 -->  snd_buf[0,0,3]=(1.0514e+061.0514e+061.0514e+06)
 140: j=1, i=5 -->  rcv_buf[0,0,3]=(1.0514e+061.0514e+061.0514e+06)
 140: j=1, i=5 -->  snd_ 29: j=1, i=5 -- 0: j=1, i=6 -->  snd_buf[0,0,3]=(1.06e+061.06e+061.06e+06)
 0: j=1, i=6 -->  rcv_buf[0,0,3]=(1.06e+061.06e+061.06e+06)
 0: j=1, i=6 -->  snd_buf[0,0,3]=(1.06e+061.06e+061.06e+06)
 0: j=1, i=6 -->  rcv_buf[0,0,3]=(1.06e+061.06e+061.06e+06)
 0: j=1, i=6 -->  snd_buf[0,0,3]=(1.06e+061.06e+061.06e+06)
 0: j=1, i=6 -->  rcv_buf[0,0,3]=(1.06e+061.06e+061.06e+06)
 0: j=1, i=6 -->  snd_buf[0,0,3]=(1.06e+061.06e+061.06e+06)
 0: j=1, i=6 -->  rcv_buf[0,0,3]=(1.06e+061.06e+061.06e+06)
 0: j=1, i=6 -->  snd_buf[0,0,3]=(1.06e+061.06e+061.06e+06)
 0: j=1, i=6 -->  rcv_buf[0,0,3]=(1.06e+061.06e+061.06e+06)
 0: j=1, i=6 -->  snd_bu 100: j=1, i=6 -->  snd_buf[0,0,3]=(1.061e+061.061e+061.061e+06)
 100: j=1, i=6 -->  rcv_buf[0,0,3]=(1.061e+061.061e+061.061e+06)
 100: j=1, i=6 -->  snd_buf[0,0,3]=(1.061e+061.061e+061.061e+0 30: j=1, i=6 -->  snd_buf[0,0,3]=(1.0603e+061.0603e+061.0603e+06)
 30: j=1, i=6 -->  rcv_buf[0,0,3]=(1.0603e+061.0603e+061.0603e+06)
 30: j=1,  0: j=1, i=7 -->  snd_buf[0,0,3]=(1.07e+061.07e+061.07e+06)
 0: j=1, i=7 -->  rcv_buf[0,0,3]=(1.07e+061.07e+061.07e+06)
 0: j=1, i=7 -->  snd_buf[0,0,3]=(1.07e+061.07e+061.07e+06)
 0: j=1, i=7 -->  rcv_buf[0,0,3]=(1.07e+061.07e+061.07e+06)
 0: j=1, i=7 -->  snd_buf[0,0,3]=(1.07e+061.07e+061.07e+06)
 0: j=1, i=7 -->  rcv_buf[0,0,3]=(1.07e+061.07e+061.07e+06)
 0: j=1, i=7 -->  snd_buf[0,0,3]=(1.07e+061.07e+061.07e+06)
 0: j=1, i=7 -->  rcv_buf[0,0,3]=(1.07e+061.07e+061.07e+06)
 0: j=1, i=7 -->  snd_buf[0,0,3]=(1.07e+061.07e+061.07e+06)
 0: j=1, i=7 -->  rcv_buf[0,0,3]=(1.07e+061.07e+061.07e+06)
 0: j=1, i=7 -->  snd_buf[0,0,3]=(1.07e+061.07e+061.07e+06)
 0: j=1, i=7 -->  rcv_buf[0,0,3]=(1.07e+061. 100: j=1, i=7 -->  snd_buf[0,0,3]=(1.071e+061.071e+061.071e+06)
 100: j=1, i=7 -->  rcv_buf[0,0,3]=(1.071e+061.071e+061.071e+06)
 100: j=1, i=7 -->  snd_buf[0,0,3]=(1.071e+061.071e+061.071e+06)
 100: j=1, i=7 -->  rcv_buf[0,0,3]=(1.071e+061.071e+061.071e+ 0: j=1, i=8 -->  snd_buf[0,0,3]=(1.08e+061.08e+061.08e+06)
 0: j=1, i=8 -->  rcv_buf[0,0,3]=(1.08e+061.08e+061.08e+06)
 0: j=1, i=8 -->  snd_buf[0,0,3]=(1.08e+061.08e+061.08e+06)
 0: j=1, i=8 -->  rcv_buf[0,0,3]=(1.08e+061.08e+061.08e+06)
 0: j=1, i=8 -->  snd_buf[0,0,3]=(1.08e+061.08e+061.08e+06)
 0: j=1, i=8 -->  rcv_buf[0,0,3]=(1.08e+061.08e+061.08e+06)
 0: j=1, i=8 -->  snd_buf[0,0,3]=(1.08e+061.08e+061.08e+06)
 0: j=1, i=8 -->  rcv_buf[0,0,3]=(1.08e+061.08e+061.08e+06)
 0: j=1, i=8 -->  snd_buf[0,0,3]=(1.08e+061.08e+061.08e+06)
 0: j=1, i=8 -->  rcv_buf[0,0,3]=(1.08e+061.08e+061.08e+06)
 0: j=1, i=8 -->  snd_buf[0,0,3]=(1.08e+061.08e+061.08e+06)
 0: j=1, i=8 -->  rcv_buf[0,0,3]=(1.08e+061.08e+061.08e+06)
 0: j=1, i=8 -->  snd_buf[0,0,3]=(1.08e+061.08e+061.08e+06)
 0:  100: j=1, i=8 -->  snd_buf[0,0,3]=(1.081e+061.081e+061.081e+06)
 100: j=1, i=8 -->  rcv_buf[0,0,3]=(1.081e+061.081e+061.081e+06)
